fromRegion,toFacility,timePeriod,quantity
8,40,78,7.225227222766113
8,40,85,2.9281031745931037
8,40,92,9.000051960814744
8,40,99,1000000.0
8,40,106,9.563475884846412
8,40,113,999986.5861763076
8,40,120,1000000.0
8,40,141,0.00039610301558469393
8,40,148,999999.9754709709
8,56,1,207.5412022326716
8,56,8,1000000.0
8,56,15,1000000.0
8,56,22,1000000.0
8,56,43,999987.0517064544
8,56,50,1000000.0
8,56,64,1000000.0
8,56,71,1000000.0
8,56,99,1000000.0
8,56,120,0.5508400364414344
8,56,127,1000000.0
8,56,148,1000000.0
9,26,8,1000000.0
9,26,15,215.6545117450878
9,26,22,1000000.0
9,26,29,1000000.0
9,26,64,1000000.0
9,26,71,999995.9376533059
9,26,85,1000000.0
9,26,92,1000000.0
9,26,99,999996.491370564
9,26,106,1000000.0
9,26,120,5.29219525700287
9,26,127,999999.9305864119
9,26,141,1000000.0
9,26,148,1.4902308831759496
9,37,1,998486.5783051829
9,37,15,999806.8001498386
9,37,29,7.317065221389721
9,37,36,999988.1643994977
9,37,50,1000000.0
9,37,57,1000000.0
9,37,92,1000000.0
9,37,127,1000000.0
9,37,134,1000000.0
9,37,148,999999.9999109021
9,41,8,1000000.0
9,41,43,1000000.0
9,41,50,4.976961836804712
9,41,57,1000000.0
9,41,64,1000000.0
9,41,78,1000000.0
9,41,85,1000000.0
9,41,99,1000000.0
9,41,106,1000000.0
9,41,113,1000000.0
9,41,134,1000000.0
9,41,141,1000000.0
9,41,148,1000000.0
9,51,15,1000000.0
9,51,36,1000000.0
9,51,43,1000000.0
9,51,50,1000000.0
9,51,64,1000000.0
9,51,71,8.54151861986611
9,51,78,6.09477231054244
9,51,113,4.047155330494182
9,51,120,1000000.0
9,51,127,1000000.0
9,51,134,1000000.0
9,60,1,356.550184444487
9,60,8,1000000.0
9,60,15,1000000.0
9,60,22,1000000.0
9,60,29,1000000.0
9,60,36,1000000.0
9,60,43,1000000.0
9,60,57,1000000.0
9,60,71,1000000.0
9,60,78,1000000.0
9,60,92,1000000.0
9,60,99,1000000.0
9,60,106,2.6653142773159315
9,60,113,1000000.0
9,60,120,1000000.0
9,60,148,1000000.0
10,1,8,1000000.0
10,1,15,4.926941108890811
10,1,29,999981.6141040158
10,1,43,1000000.0
10,1,50,1000000.0
10,1,57,1000000.0
10,1,64,1000000.0
10,1,71,1000000.0
10,1,99,1000000.0
10,1,106,1000000.0
10,1,113,1000000.0
10,1,127,1000000.0
10,1,134,1000000.0
10,1,141,0.5030885085204686
10,1,148,1000000.0
10,2,8,1000000.0
10,2,15,1000000.0
10,2,22,1000000.0
10,2,29,1000000.0
10,2,50,1000000.0
10,2,57,1000000.0
10,2,64,1000000.0
10,2,71,8.81500073412303
10,2,78,1.1623171791379572
10,2,85,1000000.0
10,2,92,1000000.0
10,2,99,1000000.0
10,2,106,1000000.0
10,2,113,1000000.0
10,2,134,1000000.0
10,2,141,1000000.0
10,4,8,1000000.0
10,4,15,1000000.0
10,4,22,1000000.0
10,4,29,1000000.0
10,4,64,1000000.0
10,4,71,1000000.0
10,4,85,8.943971417449507
10,4,113,1000000.0
10,4,120,1000000.0
10,4,127,1000000.0
10,15,1,266.50057477417784
10,15,22,1000000.0
10,15,43,1000000.0
10,15,57,1000000.0
10,15,78,1000000.0
10,15,85,1000000.0
10,15,92,1000000.0
10,15,106,1000000.0
10,15,120,1000000.0
10,15,127,1000000.0
10,15,141,1000000.0
10,15,148,1000000.0
10,45,15,1000000.0
10,45,22,999993.9865022852
10,45,36,1000000.0
10,45,71,1000000.0
10,45,99,1000000.0
10,45,113,999999.9225188375
10,45,120,1000000.0
10,45,134,999999.9548509596
10,45,148,1000000.0
10,54,22,1000000.0
10,54,29,1000000.0
10,54,36,1000000.0
10,54,43,1000000.0
10,54,50,1000000.0
10,54,78,1000000.0
10,54,85,1000000.0
10,54,92,999995.5406128168
10,54,120,1000000.0
10,54,134,1000000.0
10,54,141,1000000.0
10,54,148,1000000.0
10,58,8,1000000.0
10,58,29,1000000.0
10,58,36,1000000.0
10,58,50,5.731974570215698
10,58,57,1000000.0
10,58,64,1000000.0
10,58,78,1000000.0
10,58,85,1000000.0
10,58,92,1000000.0
10,58,99,1000000.0
10,58,113,1000000.0
10,58,127,999999.9397134173
10,58,134,1000000.0
10,63,8,23.43080434556441
10,63,15,1000000.0
10,63,36,1000000.0
10,63,43,1000000.0
10,63,71,1000000.0
10,63,78,1000000.0
10,63,92,1000000.0
10,63,99,2.5323901242052043
10,63,106,1.3224210398155727
10,63,127,1000000.0
10,63,141,1000000.0
11,25,8,999975.5446233072
11,25,15,999498.7123656551
11,25,22,1000000.0
11,25,36,43.95166874269489
11,25,43,1000000.0
11,25,57,1000000.0
11,25,64,1000000.0
11,25,71,1000000.0
11,25,78,1000000.0
11,25,85,1000000.0
11,25,92,1.4895373523278668
11,25,106,999999.4631063051
11,25,120,0.5134569413964168
11,25,127,1000000.0
11,25,134,0.3468003413900727
11,25,148,1000000.0
11,35,1,1000000.0
11,35,8,1000000.0
11,35,15,664.8102289195808
11,35,22,97.37626157887237
11,35,29,1000000.0
11,35,36,999985.7385320914
11,35,50,999999.8490473217
11,35,57,15.568852048803443
11,35,64,12.420214088425988
11,35,71,7.283508838808937
11,35,78,5.359720490581997
11,35,92,1000000.0
11,35,99,999999.948493026
11,35,106,1000000.0
11,35,113,1000000.0
11,35,120,1000000.0
11,35,127,0.3926542596183459
11,35,134,1000000.0
11,35,141,1000000.0
12,1,1,53.09240392045423
12,1,8,1000000.0
12,1,15,1000000.0
12,1,36,1000000.0
12,1,50,1000000.0
12,1,57,14.382984625320994
12,1,64,1000000.0
12,1,71,1000000.0
12,1,78,1000000.0
12,1,85,1000000.0
12,1,106,1000000.0
12,1,113,1000000.0
12,1,120,1000000.0
12,1,127,8.042142137153476
12,1,148,1000000.0
12,2,8,1000000.0
12,2,15,1000000.0
12,2,29,1000000.0
12,2,36,1000000.0
12,2,43,1000000.0
12,2,50,1000000.0
12,2,64,12.966035329478641
12,2,78,1000000.0
12,2,85,1000000.0
12,2,92,1000000.0
12,2,99,1000000.0
12,2,106,1000000.0
12,2,113,9.51845391405342
