region,timePeriod,hospitalized
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
7,24,0.0
7,25,0.0
7,26,0.0
8,0,12.241209600000001
8,1,1.8361814400000003
8,2,0.2754272160000001
8,3,0.04131408240000003
8,4,0.006197112360000005
8,5,0.000929566854000001
8,6,0.00013943502810000017
8,7,2.091525421500003e-05
8,8,3.137288132250005e-06
8,9,4.705932198375008e-07
8,10,7.058898297562512e-08
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,0.0
8,21,0.0
8,22,0.0
8,23,0.0
8,24,0.0
8,25,0.0
8,26,0.0
9,0,3.628857600000001
9,1,0.5443286400000003
9,2,0.08164929600000004
9,3,0.012247394400000009
9,4,0.0018371091600000017
9,5,0.0002755663740000003
9,6,4.133495610000005e-05
9,7,6.200243415000008e-06
9,8,9.300365122500012e-07
9,9,1.395054768375002e-07
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
9,21,0.0
9,22,0.0
9,23,0.0
9,24,0.0
9,25,0.0
9,26,0.0
10,0,16.679722500000004
10,1,2.5019583750000005
10,2,0.3752937562500001
10,3,0.05629406343750003
10,4,0.008444109515625004
10,5,0.0012666164273437508
10,6,0.00018999246410156265
10,7,2.8498869615234403e-05
10,8,4.2748304422851615e-06
10,9,6.412245663427743e-07
10,10,9.618368495141615e-08
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
10,21,0.0
10,22,0.0
10,23,0.0
10,24,0.0
10,25,0.0
10,26,0.0
11,0,39.15253690000001
11,1,5.872880535
11,2,0.8809320802499999
11,3,0.13213981203749997
11,4,0.019820971805624994
11,5,0.002973145770843748
11,6,0.0004459718656265621
11,7,6.68957798439843e-05
11,8,1.0034366976597643e-05
11,9,1.5051550464896462e-06
11,10,2.2577325697344687e-07
11,11,3.386598854601702e-08
11,12,0.0
11,13,0.0
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,0.0
11,21,0.0
11,22,0.0
11,23,0.0
11,24,0.0
11,25,0.0
11,26,0.0
12,0,0.57121
12,1,0.2570445000000029
12,2,0.03855667500000044
12,3,0.005783501250000068
12,4,0.0008675251875000105
12,5,0.0001301287781250016
12,6,1.951931671875025e-05
12,7,2.9278975078125383e-06
12,8,4.391846261718809e-07
12,9,6.587769392578214e-08
12,10,0.0
12,11,0.0
12,12,0.0
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.0
12,18,0.0
12,19,0.0
12,20,0.0
12,21,0.0
12,22,0.0
12,23,0.0
12,24,0.0
12,25,0.0
12,26,0.0
13,0,0.1495729
13,1,0.06730780500000001
13,2,0.010096170750000001
13,3,0.0015144256125000004
13,4,0.00022716384187500009
13,5,3.407457628125002e-05
13,6,5.1111864421875035e-06
13,7,7.666779663281256e-07
13,8,3.450050848476566e-07
13,9,5.1750762727148505e-08
13,10,0.0
13,11,0.0
13,12,0.0
13,13,0.0
13,14,0.0
13,15,0.0
13,16,0.0
13,17,0.0
13,18,0.0
13,19,0.0
13,20,0.0
13,21,0.0
13,22,0.0
13,23,0.0
13,24,0.0
13,25,0.0
13,26,0.0
14,0,1.0000000000000003e-05
14,1,1.5000000000000002e-06
14,2,2.25e-07
14,3,3.375e-08
14,4,0.0
14,5,0.0
