region,timePeriod,V
4,4,4900.0565626504385
4,5,6225.853179541236
4,6,7423.414730952516
4,7,8505.69573520061
4,8,9484.054217811497
4,9,10369.04340427935
4,10,11170.111581311203
4,11,11895.801109667871
4,12,12553.676002632099
4,13,13150.530738308806
4,14,13692.474100515014
4,15,14184.998428422914
4,16,14633.04187204379
4,17,15041.044359962316
4,18,15412.997914383393
4,19,15752.491884412444
4,20,16062.753610827018
4,21,16346.68498375859
4,22,16606.876844202387
4,23,16845.68524911633
4,24,17065.223453062743
4,25,17267.402552613392
4,26,17453.9226846967
4,27,17626.321142313645
4,28,17785.975980111663
4,29,17934.128940324663
4,30,18071.89489975239
4,31,18200.27800437411
4,32,18320.180491858
4,33,18432.415507299567
4,34,18537.713924018128
4,35,18636.732882794502
4,36,18730.063376150723
4,37,18818.235569149878
4,38,18901.728373752918
4,39,18980.972542842883
4,40,19056.355604959037
4,41,19128.226536767193
4,42,19196.881132681356
4,43,19262.611337064573
4,44,19325.67732726503
4,45,19386.311650453266
4,46,19444.722619124972
4,47,19501.097152417227
4,48,19555.603192525054
4,49,19608.391787007207
4,50,19659.598901987953
4,51,19709.347401071605
4,52,19757.7296053335
4,53,19804.85443198378
4,54,19850.817484329276
4,55,19895.70169607024
4,56,19939.585560718882
4,57,19982.53469064874
4,58,20024.609413001857
4,59,20065.86399237041
4,60,20106.347350490072
4,61,20146.104062612376
4,62,20185.15596763562
4,63,20223.54867640727
4,64,20261.320835381965
4,65,20298.5057604672
4,66,20335.132581864018
4,67,20371.22706172678
4,68,20406.812191106943
4,69,20441.908636416123
4,70,20476.53508191358
4,71,20510.70849916281
4,72,20544.42660155091
4,73,20577.712967772837
4,74,20610.586397954237
4,75,20643.062329815308
4,76,20675.1537868505
4,77,20706.872018558835
4,78,20738.226937465388
4,79,20769.227421543295
4,80,20799.881527030448
4,81,20830.197030126623
4,82,20860.162574385224
4,83,20889.79393914206
4,84,20919.102884945747
4,85,20948.098493102505
4,86,20976.788045029854
4,87,21005.17760064703
4,88,21033.27237982405
4,89,21061.07701485735
4,90,21088.595718392386
4,91,21115.832784696428
4,92,21142.773684127893
4,93,21169.431341385003
4,94,21195.81492246754
4,95,21221.931149083783
4,96,21247.785155099435
4,97,21273.381044136033
4,98,21298.722252196196
4,99,21323.811783129673
4,100,21348.65236120676
4,101,21373.24691891663
4,102,21397.579662739918
4,103,21421.65853232188
4,104,21445.50703801612
4,105,21469.11896223304
4,106,21492.498438137856
4,107,21515.64869907638
4,108,21538.572410235396
4,109,21561.271882521196
4,110,21583.749209806167
4,111,21606.006718739944
4,112,21628.02807109549
4,113,21649.820723294826
4,114,21671.400045579096
4,115,21692.767486608365
4,116,21713.926887013033
4,117,21734.881140540063
4,118,21755.632550175018
4,119,21776.18305724164
4,120,21796.534387910695
4,121,21816.68853753913
4,122,21836.62885493583
4,123,21856.36243258272
4,124,21875.909620040195
4,125,21895.27279496157
4,126,21914.448111153004
4,127,21933.438052470992
4,128,21952.244604445856
4,129,21970.86945017459
4,130,21989.314095321588
4,131,22007.580283632782
4,132,22025.65124831832
4,133,22043.533914581512
4,134,22061.24843257959
4,135,22078.792365491245
4,136,22096.16662341734
4,137,22113.37360020472
4,138,22130.415151439367
4,139,22147.29280581428
4,140,22164.007900127726
4,141,22180.56202698328
4,142,22196.938258920116
4,143,22213.143320307434
4,144,22229.189306512573
4,145,22245.087041781066
4,146,22260.831908561693
4,147,22276.42609558458
4,148,22291.871259894888
4,149,22307.168737426422
4,150,22322.31967738134
4,151,22337.325488797385
4,152,22352.169065023954
4,153,22366.85695616647
4,154,22381.4112455613
4,155,22395.827743458096
5,1,0.0
5,2,47304.373240765206
5,3,89809.55557750311
5,4,128147.84184388531
5,5,162671.68052515705
5,6,193766.79954038214
5,7,221779.6780692641
5,8,247021.5915273639
5,9,269772.2259098496
5,10,290282.9110280096
5,11,308762.6595798554
5,12,325409.8523214226
5,13,340408.6394758582
5,14,353924.56649976404
5,15,366106.45284622995
5,16,377074.968395393
5,17,386976.6152582017
5,18,395905.9859730263
5,19,403945.97178870643
5,20,411212.6297595833
5,21,417751.17883800063
5,22,423643.5185111638
5,23,428953.13156100037
5,24,433757.9220622729
5,25,438089.03566958674
5,26,441971.1807728135
5,27,445490.1749099578
5,28,448661.0728132365
5,29,451517.7800457054
5,30,454066.1934846461
5,31,456382.8419927054
5,32,458437.94294474705
5,33,460308.14101858693
5,34,461956.53397437965
5,35,463428.9991167073
5,36,464772.138794285
5,37,465937.4686250548
5,38,466969.02439669723
5,39,467877.6401039899
5,40,468672.969046178
5,41,469364.93040022557
5,42,470000.1636858612
5,43,470510.50605537504
5,44,470980.13268480997
5,45,471334.42614203156
5,46,471618.590911987
5,47,471880.87525205535
5,48,472081.8448035072
5,49,472225.74307776033
5,50,472268.4700391158
5,51,472263.2547927895
5,52,472215.576958846
5,53,472175.75985831267
5,54,472045.6225057739
5,55,471928.8824292814
5,56,471720.41181484325
5,57,471489.8146762063
5,58,471300.83295409504
5,59,471104.6240718932
5,60,470904.52865233616
5,61,470702.5150120452
5,62,470499.7303480345
5,63,470296.73648209823
5,64,470093.8742077515
5,65,469891.34916870657
5,66,469689.28459306044
