region,timePeriod,I
15,26,0.0
16,0,2.8411000000000004
16,1,0.4261650000000001
16,2,0.06392475000000003
16,3,0.009588712500000006
16,4,0.0014383068750000011
16,5,0.0002157460312500002
16,6,3.2361904687500035e-05
16,7,4.854285703125006e-06
16,8,7.28142855468751e-07
16,9,1.0922142832031267e-07
16,10,1.6383214248046902e-08
16,11,2.4574821372070355e-09
16,12,0.0
16,13,0.0
16,14,0.0
16,15,0.0
16,16,0.0
16,17,0.0
16,18,0.0
16,19,0.0
16,20,0.0
16,21,0.0
16,22,0.0
16,23,0.0
16,24,0.0
16,25,0.0
16,26,0.0
17,0,0.19890000000000002
17,1,0.029835000000000007
17,2,0.004475250000000002
17,3,0.0006712874999999924
17,4,0.00010069312499999365
17,5,1.510396874999905e-05
17,6,2.2655953124998578e-06
17,7,3.398392968749787e-07
17,8,5.0975894531246814e-08
17,9,7.646384179687023e-09
17,10,0.0
17,11,0.0
17,12,0.0
17,13,0.0
17,14,0.0
17,15,0.0
17,16,0.0
17,17,0.0
17,18,0.0
17,19,0.0
17,20,0.0
17,21,0.0
17,22,0.0
17,23,0.0
17,24,0.0
17,25,0.0
17,26,0.0
18,0,0.013999999999999999
18,1,0.0021000000000000003
18,2,0.0003149999999999989
18,3,4.724999999999984e-05
18,4,7.0874999999999775e-06
18,5,1.0631249999999967e-06
18,6,1.5946874999999953e-07
18,7,2.392031249999993e-08
18,8,0.0
18,9,0.0
18,10,0.0
18,11,0.0
18,12,0.0
18,13,0.0
18,14,0.0
18,15,0.0
18,16,0.0
18,17,0.0
18,18,0.0
18,19,0.0
18,20,0.0
18,21,0.0
18,22,0.0
18,23,0.0
18,24,0.0
18,25,0.0
18,26,0.0
19,0,0.9811
19,1,0.14716500000000002
19,2,0.022074750000000008
19,3,0.0033112125000000015
19,4,0.0004966818749999741
19,5,7.450228124999612e-05
19,6,1.1175342187499421e-05
19,7,1.6763013281249133e-06
19,8,2.5144519921873704e-07
19,9,3.771677988281056e-08
19,10,5.657516982421585e-09
19,11,0.0
19,12,0.0
19,13,0.0
19,14,0.0
19,15,0.0
19,16,0.0
19,17,0.0
19,18,0.0
19,19,0.0
19,20,0.0
19,21,0.0
19,22,0.0
19,23,0.0
19,24,0.0
19,25,0.0
19,26,0.0
20,0,0.001
20,1,0.00014999999999999736
20,2,2.249999999999961e-05
20,3,3.374999999999942e-06
20,4,5.062499999999913e-07
20,5,0.0
20,6,0.0
20,7,0.0
20,8,0.0
20,9,0.0
20,10,0.0
20,11,0.0
20,12,0.0
20,13,0.0
20,14,0.0
20,15,0.0
20,16,0.0
20,17,0.0
20,18,0.0
20,19,0.0
20,20,0.0
20,21,0.0
20,22,0.0
20,23,0.0
20,24,0.0
20,25,0.0
20,26,0.0
21,0,0.001
21,1,0.00014999999999999736
21,2,2.249999999999961e-05
21,3,3.374999999999942e-06
21,4,0.0
21,5,0.0
21,6,0.0
21,7,0.0
21,8,0.0
21,9,0.0
21,10,0.0
21,11,0.0
21,12,0.0
21,13,0.0
21,14,0.0
21,15,0.0
21,16,0.0
21,17,0.0
21,18,0.0
21,19,0.0
21,20,0.0
21,21,0.0
21,22,0.0
21,23,0.0
21,24,0.0
21,25,0.0
21,26,0.0
22,0,0.0211
22,1,0.0031650000000000007
22,2,0.0004747499999999986
22,3,7.12124999999998e-05
22,4,1.0681874999999971e-05
22,5,1.602281249999996e-06
22,6,2.4034218749999946e-07
22,7,3.605132812499992e-08
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
22,12,0.0
22,13,0.0
22,14,0.0
22,15,0.0
22,16,0.0
22,17,0.0
22,18,0.0
22,19,0.0
22,20,0.0
22,21,0.0
22,22,0.0
22,23,0.0
22,24,0.0
22,25,0.0
22,26,0.0
23,0,0.001
23,1,0.00014999999999999736
23,2,2.249999999999961e-05
23,3,3.374999999999942e-06
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
23,12,0.0
23,13,0.0
23,14,0.0
23,15,0.0
23,16,0.0
23,17,0.0
23,18,0.0
23,19,0.0
23,20,0.0
23,21,0.0
23,22,0.0
23,23,0.0
23,24,0.0
23,25,0.0
23,26,0.0
24,0,0.0435
24,1,0.019575000000002004
24,2,0.008808750000000903
24,3,0.004228200000000433
24,4,0.001902690000000195
24,5,0.0008562105000000877
24,6,0.00012843157500001318
24,7,1.926473625000198e-05
24,8,2.8897104375002976e-06
24,9,4.334565656250447e-07
24,10,6.501848484375672e-08
24,11,9.752772726563509e-09
24,12,0.0
24,13,0.0
24,14,0.0
24,15,0.0
24,16,0.0
24,17,0.0
24,18,0.0
24,19,0.0
24,20,0.0
24,21,0.0
24,22,0.0
24,23,0.0
24,24,0.0
24,25,0.0
24,26,0.0
25,0,0.0529
25,1,0.007935000000000001
25,2,0.0011902500000000003
25,3,0.00017853749999999832
25,4,2.678062499999975e-05
25,5,4.017093749999963e-06
25,6,6.025640624999946e-07
25,7,9.03846093749992e-08
25,8,1.3557691406249883e-08
25,9,0.0
25,10,0.0
25,11,0.0
25,12,0.0
25,13,0.0
25,14,0.0
25,15,0.0
25,16,0.0
25,17,0.0
25,18,0.0
25,19,0.0
25,20,0.0
25,21,0.0
25,22,0.0
25,23,0.0
25,24,0.0
25,25,0.0
25,26,0.0
26,0,1.4537
26,1,0.21805500000000003
26,2,0.03270825000000001
26,3,0.004906237500000002
26,4,0.0007359356249999754
26,5,0.0001103903437499748
26,6,1.6558551562496224e-05
26,7,2.483782734374434e-06
26,8,3.7256741015616517e-07
26,9,5.5885111523424783e-08
26,10,8.38276672851372e-09
26,11,0.0
26,12,0.0
26,13,0.0
26,14,0.0
26,15,0.0
26,16,0.0
26,17,0.0
26,18,0.0
26,19,0.0
26,20,0.0
26,21,0.0
26,22,0.0
26,23,0.0
26,24,0.0
26,25,0.0
26,26,0.0
27,0,0.5547
27,1,0.083205
27,2,0.012480750000000002
27,3,0.0018721125000000006
27,4,0.00028081687499998537
27,5,4.212253124999781e-05
27,6,6.318379687499672e-06
27,7,9.47756953124951e-07
27,8,1.4216354296874267e-07
27,9,2.1324531445311402e-08
27,10,0.0
27,11,0.0
27,12,0.0
27,13,0.0
27,14,0.0
27,15,0.0
27,16,0.0
27,17,0.0
27,18,0.0
27,19,0.0
27,20,0.0
27,21,0.0
27,22,0.0
27,23,0.0
27,24,0.0
27,25,0.0
27,26,0.0
28,0,8.7366
28,1,1.3104900000000002
