region,timePeriod,administeredVaccines
2,22,154.54868523142304
2,23,148.80969750921597
2,24,143.8432734613852
2,25,139.4708276233898
2,26,135.5578020558197
2,27,132.0027524214143
2,28,128.72914090511128
2,29,125.67916455065934
2,30,122.80911414889731
2,31,120.08588405127573
2,32,117.48434745065697
2,33,114.98538247870043
2,34,112.5743877111929
2,35,110.24016570735972
2,36,107.97408331305677
2,37,105.7694400944152
2,38,103.62099329038027
2,39,101.52460047247214
2,40,99.47695072528576
2,41,97.47536239921143
2,42,95.51763092972492
2,43,93.60191431060872
2,44,91.72664688642101
2,45,89.8904744441796
2,46,88.09220532488156
2,47,86.33077358449064
2,48,84.60521121843753
2,49,82.9146272039927
2,50,81.2581916716177
2,51,79.63512393510206
2,52,78.04468342517765
2,53,76.44695362921188
2,54,74.92986795651962
2,55,73.44052954634658
2,56,71.93599774812763
2,57,70.51428463051433
2,58,69.1171489190755
2,59,67.74553604530136
2,60,66.35807428412181
2,61,65.04818609524654
2,62,63.7605522802703
2,63,62.496159525279964
2,64,61.255086002918794
2,65,60.03729725387382
2,66,58.84266435249941
2,67,57.67098641495221
2,68,56.52200824141593
2,69,55.395434179510985
2,70,54.290938979324224
2,71,53.20817626396771
2,72,52.146785116763866
2,73,51.106395185521485
2,74,50.08663062254923
2,75,49.08711311297894
2,76,48.10746419091688
2,77,47.147307000552495
2,78,46.20626762563268
2,79,45.28397608398542
2,80,44.38006706266893
2,81,43.49418045270039
2,82,42.62596172926542
2,83,41.77506221308215
2,84,40.94113924060025
2,85,40.123856264478924
2,86,39.322882900931454
2,87,38.53789493674982
2,88,37.76857430589218
2,89,37.014609043246274
2,90,36.27569322142401
2,91,35.551526875084335
2,92,34.84181591623266
2,93,34.14627204313669
2,94,33.46461264487513
2,95,32.79656070305663
2,96,32.14184469187768
2,97,31.5001984774051
2,98,30.87136121675163
2,99,30.25507725764662
2,100,29.651096038776487
2,101,29.059171991171983
2,102,28.479064440844887
2,103,27.910537512820024
2,104,27.35336003666501
2,105,26.807305453587418
2,106,26.27215172514395
2,107,25.747681243587284
2,108,25.233680743862074
2,109,24.729941217250786
2,110,24.236257826661994
2,111,23.752429823547917
2,112,23.27826046643343
2,113,22.81355694103578
2,114,22.358130281951716
2,115,21.911795295887355
2,116,21.474370486404936
2,117,21.04567798015996
2,118,20.6255434546018
2,119,20.213796067110778
2,120,19.810268385544667
2,121,19.41479632016776
2,122,19.027219056935813
2,123,18.647378992110603
2,124,18.275121668177988
2,125,17.91029571104398
2,126,17.55275276848356
2,127,17.20234744981751
2,128,16.85893726679285
2,129,16.522382575643146
2,130,16.192546520305033
2,131,15.869294976768154
2,132,15.55249649853578
2,133,15.242022263174107
2,134,14.9300948505576
2,135,14.62402718368462
2,136,14.335776013090124
2,137,14.052321076047146
2,138,13.773911652926445
2,139,13.491739211158906
2,140,13.214868199544016
2,141,12.956187631187344
2,142,12.701569215526781
2,143,12.450776661586534
2,144,12.195887965133757
2,145,11.945335216209765
2,146,11.71256755721958
2,147,11.47176635821551
2,148,11.236040582581264
2,149,11.018842429922897
2,150,10.804645552223281
2,151,10.582637618328418
2,152,10.377408280180065
2,153,10.174404716933127
2,154,9.965801512319569
2,155,9.771587083353007
3,2,29527.52978539325
3,3,21406.121430796436
3,4,15646.12955728168
3,5,11240.284079422658
3,6,7859.24686117181
3,7,5248.0229915703885
3,8,4157.838082440686
3,9,2877.4839340623575
3,10,1887.2863578364836
3,11,1089.4202844773604
3,12,443.6282377639031
3,13,354.2542116503932
3,14,347.5653073096809
3,15,348.9858930662352
3,16,348.5991049466316
3,17,348.01333236971425
3,18,347.74871155161037
3,19,346.08985453481375
3,20,343.25086333092196
3,21,342.44017840170244
3,22,339.51897788269946
3,23,338.67560567325245
3,24,335.7675701130087
3,25,334.92521372294203
3,26,332.0457095807816
3,27,331.21109449931174
3,28,329.35976456319173
3,29,326.5388145095656
3,30,324.73281643717155
3,31,350.1818126747949
3,32,324.88926679304706
3,33,320.6624645891094
3,34,317.3742664617241
3,35,315.58160528105486
3,36,314.7919740830609
3,37,312.1012068906036
3,38,337.57532758975907
3,39,313.28911669480885
3,40,308.2099292426042
3,41,353.2206236049363
3,42,335.57857230461724
3,43,306.80823865550497
3,44,299.98679900883184
3,45,480.2165602808436
3,46,508.0118449841478
3,47,585.8398033588419
3,48,606.4423174143292
3,49,622.9353617207346
3,50,622.3675855455182
3,51,610.1562476572741
3,52,588.2984470483208
3,53,562.0344063438142
3,54,530.5418846300082
3,55,494.6280256069073
3,56,454.83448194553813
3,57,411.5194567921706
3,58,366.13712950198067
3,59,315.062658901661
3,60,263.0153040244077
3,61,253.52565696268397
3,62,251.42352590945532
3,63,250.1763478639541
3,64,352.4398243232607
3,65,360.6484703093287
3,66,354.2611782648494
3,67,339.26053026405424
3,68,313.41022500152945
3,69,281.4600166187774
3,70,244.2283423002077
3,71,385.1057868898768
3,72,457.144749133477
3,73,479.48450418816395
3,74,490.17236318300314
3,75,491.43913233510557
3,76,483.386613578634
3,77,468.65914404041473
3,78,448.5546895145645
3,79,424.02969846966374
3,80,395.7708658614836
3,81,365.44990112782216
3,82,330.9028793570141
3,83,292.6303137136554
3,84,252.83611064320783
3,85,211.18465400484638
3,86,318.1494232525632
3,87,322.6366363090859
3,88,317.9660271785516
3,89,305.99472504528325
3,90,285.44558569667544
3,91,261.2377520564276
3,92,230.62411315318064
3,93,196.8048061386719
3,94,311.62934232820174
3,95,321.9491169324901
3,96,324.2570886029884
3,97,316.10010057177305
3,98,303.1227565688602
3,99,282.7282483081782
3,100,366.2512219669698
3,101,426.6387335204515
3,102,445.7784327262748
3,103,454.87433366663436
3,104,457.36039494943975
3,105,454.3454043126916
3,106,447.8284643889061
3,107,437.2890992489688
3,108,423.2337722173819
3,109,407.8541416723118
3,110,390.6770030768643
3,111,371.96742781782456
3,112,351.89706220054626
3,113,381.9505077422719
3,114,377.76647456731246
3,115,368.7642287980574
3,116,398.8483735972652
3,117,399.40200498868086
3,118,396.76128236537323
3,119,390.59559340200497
3,120,381.47781962907874
3,121,371.5835784647831
3,122,358.9363698003165
3,123,345.6461202774945
3,124,331.2743650229201
3,125,316.7969825156848
3,126,299.7729122970486
3,127,282.7910021421308
3,128,265.00038390491744
3,129,246.408313735129
3,130,226.9913621047882
3,131,207.3940598129553
3,132,186.13212142425806
3,133,163.33483012932044
3,134,140.60437876936965
3,135,115.73914746581085
3,136,182.37610639638766
3,137,222.7143022969347
