region,timePeriod,U
56,43,0.0
56,50,0.0
57,1,0.0
57,8,0.0
57,15,0.0
57,22,0.0
57,29,0.0
57,36,0.0
57,43,0.0
57,50,0.0
58,1,0.0
58,8,0.0
58,15,0.0
58,22,0.0
58,29,0.0
58,36,0.0
58,43,0.0
58,50,0.0
59,1,0.0
59,8,-2.4494308414821435e-11
59,15,6.342304459394654e-11
59,22,4.4149572886453825e-11
59,29,2.312461333531246e-11
59,36,3.11963788135472e-11
59,43,0.0
59,50,0.0
60,1,0.0
60,8,0.0
60,15,0.0
60,22,0.0
60,29,0.0
60,36,0.0
60,43,0.0
60,50,0.0
61,1,0.0
61,8,0.0
61,15,0.0
61,22,0.0
61,29,0.0
61,36,0.0
61,43,0.0
61,50,0.0
62,1,0.0
62,8,0.0
62,15,0.0
62,22,0.0
62,29,0.0
62,36,0.0
62,43,0.0
62,50,0.0
63,1,0.0
63,8,0.0
63,15,0.0
63,22,0.0
63,29,0.0
63,36,0.0
63,43,0.0
63,50,0.0
64,1,1.7138290786533616e-10
64,8,0.0
64,15,0.0
64,22,0.0
64,29,0.0
64,36,0.0
64,43,0.0
64,50,0.0
65,1,0.0
65,8,0.0
65,15,0.0
65,22,0.0
65,29,0.0
65,36,0.0
65,43,0.0
65,50,0.0
66,1,9.311662552136113e-12
66,8,0.0
66,15,0.0
66,22,0.0
66,29,0.0
66,36,0.0
66,43,0.0
66,50,0.0
67,1,0.0
67,8,0.0
67,15,0.0
67,22,0.0
67,29,0.0
67,36,0.0
67,43,0.0
67,50,0.0
