region,timePeriod,X
22,19,1.3983163783912604
22,20,1.3991295063121423
22,21,1.3997832937848464
22,22,1.4003213130474217
22,23,1.4007742761613229
22,24,1.4011638824896473
22,25,1.4015055124606381
22,26,1.4018101137044376
23,0,0.0
23,1,0.0198
23,2,0.03366
23,3,0.04337050000000003
23,4,0.050177200000000026
23,5,0.054951065000000035
23,6,0.05830141925000003
23,7,0.06065488353750002
23,8,0.06231011403562502
23,9,0.06347619060634377
23,10,0.06429948866677657
23,11,0.06488248954696273
23,12,0.06529694778908207
23,13,0.06559310830325521
23,14,0.06580615842063152
23,15,0.0659607443723773
23,16,0.06607413286470257
23,17,0.06615842421912833
23,18,0.06622210160653454
23,19,0.06627111554506164
23,20,0.06630964308100623
23,21,0.06634061924619429
23,22,0.06636610910735141
23,23,0.06638756822841063
23,24,0.06640602502048884
23,25,0.06642220841191351
23,26,0.06643663724103221
24,0,0.0
24,1,0.8613
24,2,1.4615999999999996
24,3,1.8807409874999994
24,4,2.174340213749999
24,5,2.380172621999999
24,6,2.5247153958562487
24,7,2.6264570474278113
24,8,2.6982171056957336
24,9,2.7489640952111034
24,10,2.7849763529135525
24,11,2.810649854657413
24,12,2.8290629863099497
24,13,2.842371772869523
24,14,2.8520865393385955
24,15,2.85926556095045
24,16,2.8646506269080754
24,17,2.8687619363662753
24,18,2.8719645281104835
24,19,2.8745147836987246
24,20,2.8765929819094236
24,21,2.8783260889908973
24,22,2.879803713865213
24,23,2.881089278698655
24,24,2.8822278401324133
24,25,2.8832515658838767
24,26,2.8841835700203413
25,0,0.0
25,1,1.04742
25,2,1.7806140000000001
25,3,2.2942994500000005
25,4,2.6543738800000005
25,5,2.906905982375001
25,6,3.084135972912501
25,7,3.2086318368553135
25,8,3.2961921027988126
25,9,3.3578767992390652
25,10,3.401428968722429
25,11,3.43226972689803
25,12,3.454194785181334
25,13,3.4698620271620118
25,14,3.4811328126717314
25,15,3.489310892845619
25,16,3.4953096527685696
25,17,3.499769183325803
25,18,3.5031382333964753
25,19,3.5057315781925253
25,20,3.50777017880901
25,21,3.5094092955368374
25,22,3.510758168727789
25,23,3.511893796868855
25,24,3.5128705826296307
25,25,3.5137270864211017
25,26,3.5144907551461135
26,0,0.0
26,1,28.783260000000002
26,2,48.93154200000001
26,3,63.047695850000004
26,4,72.94259564000001
26,5,79.88221600337502
26,6,84.75252294561253
26,7,88.17368811411285
26,8,90.57985746386832
26,9,92.27496219465989
26,10,93.47178240399069
26,11,94.31929110657696
26,12,94.92179502736579
26,13,95.35233320927989
26,14,95.66205610211357
26,15,95.88679098431626
26,16,96.05163781621633
26,17,96.17418639218663
26,18,96.26676839932405
26,19,96.33803390808059
26,20,96.39405496278245
26,21,96.43909813971746
26,22,96.47616538028346
26,23,96.5073726145556
26,24,96.53421483612823
26,25,96.55775169093211
26,26,96.5787374240127
27,0,0.0
27,1,10.98306
27,2,18.671202
27,3,24.057616350000007
27,4,27.83329284000001
27,5,30.481299592125012
27,6,32.33970178023752
27,7,33.645143287403464
27,8,34.56328467717397
27,9,35.210099421736174
27,10,35.66677973412236
27,11,35.99017044627383
27,12,36.22007271316045
27,13,36.38435662994264
27,14,36.502540085153655
27,15,36.58829398159166
27,16,36.65119591299907
27,17,36.697957758690016
27,18,36.73328501969414
27,19,36.76047837296646
27,20,36.78185477729806
27,21,36.7990422645191
27,22,36.813186309553295
27,23,36.825094304857735
27,24,36.83533670716232
27,25,36.844317854087436
27,26,36.85232554898133
28,0,0.0
28,1,172.98468000000003
28,2,294.07395600000007
28,3,378.91071030000006
28,4,438.37812552000014
28,5,480.0845898982502
28,6,509.3546756322752
28,7,529.9155558765622
28,8,544.3764069057112
28,9,554.5638265872366
28,10,561.7566032542514
28,11,566.850050685644
28,12,570.4710424667313
28,13,573.0585363640779
28,14,574.919941760375
28,15,576.2705772225069
28,16,577.2612911464869
28,17,577.9977965387363
28,18,578.5542056765012
28,19,578.9825046679672
28,20,579.3191859272724
28,21,579.5898911758013
28,22,579.812661798436
28,23,580.0002143355115
28,24,580.1615335576339
28,25,580.3029878369808
28,26,580.4291101151917
29,0,0.0
29,1,0.6336
29,2,1.07712
29,3,1.387856
29,4,1.6056704
29,5,1.7584243600000002
29,6,1.8656288920000001
29,7,1.9409349621
29,8,1.99389944148
29,9,2.03121232372475
29,10,2.0575572064842778
29,11,2.0762131940658177
29,12,2.089476227896554
29,13,2.098954001975545
29,14,2.105772411708441
29,15,2.11072006800519
29,16,2.11434945842245
29,17,2.1170477611735916
29,18,2.119086416085496
29,19,2.1206558253606302
29,20,2.1218896451481846
29,21,2.1228817906296853
29,22,2.1236983405154377
29,23,2.1243858710817314
29,24,2.1249772908420903
29,25,2.125495925620098
29,26,2.125958378863171
30,0,0.0
30,1,16.7409
30,2,28.45953
30,3,36.66975775
30,4,42.424822600000006
30,5,46.461039850625006
30,6,49.293704444187505
30,7,51.2835201901922
30,8,52.6829947621247
30,9,53.66890041658179
30,10,54.3649941683801
30,11,54.85792160047524
30,12,55.20834951890887
30,13,55.45875884188361
30,14,55.638899659033555
30,15,55.769609807552754
30,16,55.86548790920473
30,17,55.93676452816523
30,18,55.99061201185147
30,19,56.03206140832505
30,20,56.06464433585509
30,21,56.09084231762475
30,22,56.11240134073718
30,23,56.13055207099589
30,24,56.14616402555299
30,25,56.159853514950164
30,26,56.17205922267503
31,0,0.0
31,1,2.8492200000000003
31,2,4.843674
31,3,6.241014950000001
31,4,7.2204990800000015
31,5,7.907443683625003
31,6,8.389549461287503
31,7,8.728206452239691
31,8,8.966390238048191
31,9,9.134186599581456
31,10,9.252658380638554
31,11,9.336552239401097
31,12,9.396193371785518
31,13,9.438811824244379
31,14,9.469470917765856
31,15,9.49171715119115
31,16,9.5080351391511
31,17,9.520166074057203
31,18,9.529330654658903
31,19,9.53638514093915
31,20,9.541930597201425
31,21,9.546389366657817
31,22,9.550058607846449
31,23,9.553147774119191
31,24,9.555804853078778
31,25,9.55813473779072
31,26,9.5602120900573
32,0,0.0
32,1,0.0198
32,2,0.03366
32,3,0.04337050000000003
32,4,0.050177200000000026
32,5,0.054951065000000035
32,6,0.05830141925000003
32,7,0.06065488353750002
32,8,0.06231011403562502
32,9,0.06347619060634377
32,10,0.06429948866677657
32,11,0.06488248954696273
32,12,0.06529694778908207
32,13,0.06559310830325521
32,14,0.06580615842063152
32,15,0.0659607443723773
32,16,0.06607413286470257
32,17,0.06615842421912833
32,18,0.06622210160653454
32,19,0.06627111554506164
32,20,0.06630964308100623
32,21,0.06634061924619429
32,22,0.06636610910735141
32,23,0.06638756822841063
32,24,0.06640602502048884
32,25,0.06642220841191351
32,26,0.06643663724103221
33,0,0.0
33,1,0.0198
33,2,0.03366
33,3,0.04337050000000003
33,4,0.050177200000000026
33,5,0.054951065000000035
33,6,0.05830141925000003
33,7,0.06065488353750002
33,8,0.06231011403562502
33,9,0.06347619060634377
33,10,0.06429948866677657
33,11,0.06488248954696273
33,12,0.06529694778908207
33,13,0.06559310830325521
33,14,0.06580615842063152
33,15,0.0659607443723773
33,16,0.06607413286470257
33,17,0.06615842421912833
33,18,0.06622210160653454
33,19,0.06627111554506164
33,20,0.06630964308100623
33,21,0.06634061924619429
33,22,0.06636610910735141
33,23,0.06638756822841063
33,24,0.06640602502048884
33,25,0.06642220841191351
33,26,0.06643663724103221
34,0,0.0
34,1,42.1839
34,2,71.71263
34,3,92.40085024999999
34,4,106.90252459999999
34,5,117.073028269375
34,6,124.2108069998125
34,7,129.22476613270783
34,8,132.75117722141533
34,9,135.235472900683
34,10,136.98949742842547
34,11,138.23158127712878
34,12,139.1145933172367
34,13,139.74557742418676
34,14,140.19949819394574
34,15,140.52886303292627
34,16,140.77045770535443
34,17,140.95006129693886
34,18,141.0857467658884
34,19,141.19019140125152
34,20,141.2722942127492
34,21,141.3383081692039
34,22,141.3926328277082
34,23,141.43836923319796
34,24,141.47770840435064
34,25,141.5122033271019
34,26,141.54295940082497
35,0,0.0
35,1,83.03922
35,2,141.16667399999997
35,3,181.89153994999998
35,4,210.43815908
35,5,230.45884687112505
35,6,244.50960031753752
35,7,254.37960416989597
35,8,261.3213621914544
35,9,266.21171077126223
35,10,269.664516904517
35,11,272.10956522795135
35,12,273.84777888437407
35,13,275.0898742827021
35,14,275.9834196083498
35,15,276.6317759557802
35,16,277.1073562874847
35,17,277.460906863756
35,18,277.72800439402
35,19,277.93360418573525
35,20,278.0952239844398
35,21,278.22517279081177
35,22,278.3321111551869
35,23,278.42214350016854
35,24,278.49958285707874
35,25,278.5674862865679
35,26,278.62802977287964
36,0,0.0
36,1,36.27954
36,2,61.675218
36,3,79.46776715
36,4,91.93968356
36,5,100.68665087912501
36,6,106.8253751071375
36,7,111.13754470075595
36,8,114.17037410129042
36,9,116.30695000981993
36,10,117.81546873414872
36,11,118.88370165411075
36,12,119.64312102128515
36,13,120.18578808513685
36,14,120.57617486132116
36,15,120.85943944456395
36,16,121.0672188007519
36,17,121.22168379060562
36,18,121.33837775199923
36,19,121.428203570046
36,20,121.49881468549638
36,21,121.55558885698845
36,22,121.60230984817582
36,23,121.64164465959279
36,24,121.67547763929115
36,25,121.70514440620119
36,26,121.73159564010335
37,0,0.0
37,1,0.0198
37,2,0.03366
37,3,0.04337050000000003
37,4,0.050177200000000026
37,5,0.054951065000000035
37,6,0.05830141925000003
37,7,0.06065488353750002
37,8,0.06231011403562502
37,9,0.06347619060634377
37,10,0.06429948866677657
37,11,0.06488248954696273
37,12,0.06529694778908207
37,13,0.06559310830325521
37,14,0.06580615842063152
37,15,0.0659607443723773
37,16,0.06607413286470257
37,17,0.06615842421912833
37,18,0.06622210160653454
37,19,0.06627111554506164
37,20,0.06630964308100623
37,21,0.06634061924619429
37,22,0.06636610910735141
37,23,0.06638756822841063
37,24,0.06640602502048884
37,25,0.06642220841191351
37,26,0.06643663724103221
38,0,0.0
38,1,0.0198
38,2,0.03366
38,3,0.04337050000000003
38,4,0.050177200000000026
38,5,0.054951065000000035
38,6,0.05830141925000003
38,7,0.06065488353750002
38,8,0.06231011403562502
38,9,0.06347619060634377
38,10,0.06429948866677657
38,11,0.06488248954696273
38,12,0.06529694778908207
38,13,0.06559310830325521
38,14,0.06580615842063152
38,15,0.0659607443723773
38,16,0.06607413286470257
38,17,0.06615842421912833
38,18,0.06622210160653454
38,19,0.06627111554506164
38,20,0.06630964308100623
38,21,0.06634061924619429
38,22,0.06636610910735141
38,23,0.06638756822841063
38,24,0.06640602502048884
38,25,0.06642220841191351
38,26,0.06643663724103221
39,0,0.0
39,1,0.39996000000000004
39,2,0.6799320000000002
39,3,0.8760841000000004
39,4,1.0135460342500004
39,5,1.1099453150750007
39,6,1.1776006753775008
39,7,1.2251273325900007
39,8,1.2585556275587633
39,9,1.2821071134412403
39,10,1.298737238763271
39,11,1.3105152135209723
39,12,1.3188898385320287
39,13,1.324875616586401
39,14,1.3291830247437626
39,15,1.3323097057972513
39,16,1.3346043031108625
39,17,1.336311145777751
39,18,1.3376015289645653
39,19,1.3385956108493284
39,20,1.3393777411399557
39,21,1.3400071916661236
39,22,1.340525668391033
39,23,1.3409625703872323
39,24,1.341338671658896
39,25,1.341668698929669
39,26,1.341963136580788
40,0,0.0
40,1,34.758900000000004
40,2,59.09013000000001
40,3,76.13691275000002
40,4,88.08607460000005
40,5,96.46641686312506
40,6,102.34783932793756
40,7,106.479266344036
40,8,109.38497611461848
40,9,111.4319984403422
40,10,112.87728830584417
40,11,113.90074674114045
40,12,114.62833539969779
40,13,115.14825682664295
40,14,115.52228072316184
40,15,115.79367240349947
40,16,115.99274278487151
40,17,116.14073344671085
40,18,116.25253623513332
40,19,116.33859704590728
40,20,116.40624852938332
40,21,116.46064303795414
40,22,116.5054057405844
40,23,116.54309185172475
40,24,116.57550673785721
40,25,116.60393003606742
40,26,116.62927257883621
41,0,0.0
41,1,40.47318
41,2,68.804406
41,3,88.65363905000001
41,4,102.56721452000002
41,5,112.32526500137503
41,6,119.17357924821253
41,7,123.98420298139786
41,8,127.36760448640935
41,9,129.75115238502048
41,10,131.43404444658276
41,11,132.6257570000371
41,12,133.4729594929658
41,13,134.07835475840426
41,14,134.51386728854476
41,15,134.82987511176006
41,16,135.06167218752182
41,17,135.23399216009057
41,18,135.3641750594474
