region,timePeriod,allocatedVaccines
33,16,0.00022190723390675727
33,17,0.00021990629402973878
33,18,0.0002189458428887987
33,19,0.000276493023379074
33,20,0.0002764930233790983
33,21,0.00026850342873846824
33,22,0.0003141667805219452
33,23,0.0003141667805219747
33,24,0.00035724024536240063
33,25,0.0003572402453625776
34,0,210.91950000000008
34,1,211.90950000000015
34,2,212.90414679652685
34,3,213.06396563095842
34,4,213.05733892370708
34,5,213.05415810419916
34,6,213.05263131080687
34,7,213.0518984498977
34,8,213.051546676605
34,9,213.05137782536835
34,10,213.05129677667557
34,11,213.05062245280718
34,12,213.05029877735012
34,13,213.050143413132
34,14,213.05076602004962
34,15,213.0503676896278
34,16,213.0507730141132
34,17,213.05069921619554
34,18,213.05074633578113
34,19,213.05088375853444
34,20,213.05098872385355
34,21,213.0510584057346
34,22,213.05110586184622
34,23,213.05114185099876
34,24,213.05117303092405
34,25,213.05113974234277
35,0,415.1961000000002
35,1,416.1861000000003
35,2,417.1784605713063
35,3,418.17318734250097
35,4,419.17055144246643
35,5,419.39693442006853
35,6,419.3939289196283
35,7,419.39248627933904
35,8,419.39179381194646
35,9,419.39146142754487
35,10,419.3913018829777
35,11,419.391225301485
35,12,419.3905881447152
35,13,419.39014397790146
35,14,419.39013550854594
35,15,419.3904029607774
35,16,419.3905406766577
35,17,419.390695591228
35,18,419.3909478668818
35,19,419.3911627165841
35,20,419.39133033336503
35,21,419.3914660177822
35,22,419.3915845374073
35,23,419.39169507030755
35,24,419.391800580946
35,25,419.3917511162443
36,0,181.39770000000001
36,1,182.3877000000001
36,2,183.25388420568953
36,3,183.2420109016589
36,4,183.2363117157077
36,5,183.23357610640335
36,6,183.23226301389263
36,7,183.23163272944888
36,8,183.23133019281582
36,9,183.23118497516083
36,10,183.23111527054826
36,11,183.23053532986623
36,12,183.23025695833914
36,13,183.23012334000597
36,14,183.23073089561757
36,15,183.23035082990097
36,16,183.2307411897797
36,17,183.23065680475688
36,18,183.23068915652263
36,19,183.2308041069842
36,20,183.2308915790075
36,21,183.2309506529193
36,22,183.2309936564798
36,23,183.2310299479921
36,24,183.23106476322675
36,25,183.23103473377577
37,0,0.0001600000149058513
37,1,0.0001651000668948643
37,2,0.00016034814321073262
37,3,0.00015806717396030934
37,4,0.00015697235198130355
37,5,0.00015644681053326835
37,6,0.00015619455063822964
37,7,0.00015607346588863118
37,8,0.0001560153452088518
37,9,0.0001559874472825754
37,10,0.00015597405627798723
37,11,0.00015596762859580732
37,12,0.00020481348130705322
37,13,0.0002347596821463371
37,14,0.00023475968214635619
37,15,0.00022607586375332338
37,16,0.00022190723390675727
37,17,0.00021990629402973878
37,18,0.0002189458428887987
37,19,0.000276493023379074
37,20,0.0002764930233790983
37,21,0.00026850342873846824
37,22,0.0003141667805219452
37,23,0.0003141667805219747
37,24,0.00035724024536240063
37,25,0.0003572402453625776
38,0,0.0001600000149058513
38,1,0.0001651000668948643
38,2,0.00016034814321073262
38,3,0.00015806717396030934
38,4,0.00015697235198130355
38,5,0.00015644681053326835
38,6,0.00015619455063822964
38,7,0.00015607346588863118
38,8,0.0001560153452088518
38,9,0.0001559874472825754
