region,timePeriod,S_proportion,I_proportion,R_proportion,X_proportion
3,15,0.00032901878454225737,0.0,9.862280878441946e-05,0.008552856654122476
3,16,0.00032901878454225737,0.0,9.862280878441946e-05,0.008552856654122476
3,17,0.00032901878454225737,0.0,9.862280878441946e-05,0.008552856654122476
3,18,0.00032901878454225737,0.0,9.862280878441946e-05,0.008552856654122476
3,19,0.00032901878454225737,0.0,9.862280878441946e-05,0.008552856654122476
3,20,0.00032901878454225737,0.0,9.862280878441946e-05,0.008552856654122476
3,21,0.00032901878454225737,0.0,9.862280878441946e-05,0.008552856654122476
3,22,0.00032901878454225737,0.0,9.862280878441946e-05,0.008552856654122476
3,23,0.00032901878454225737,0.0,9.862280878441946e-05,0.008552856654122476
3,24,0.00032901878454225737,0.0,9.862280878441946e-05,0.008552856654122476
