region,timePeriod,S
29,21,1.065523644743605
29,22,1.0652868230891874
29,23,1.0651500343426594
29,24,1.0650818193110814
29,25,1.065060229025415
29,26,1.0650699680500657
30,0,83.7045
30,1,66.9636
30,2,55.28090374999999
30,3,47.11020312500001
30,4,41.39349755312501
30,5,37.393842893125
30,6,34.595930952117214
30,7,32.63913295475862
30,8,31.271025653347806
30,9,30.314918967282438
30,10,29.647134244665722
30,11,29.181100392405767
30,12,28.85622137432813
30,13,28.630083506691534
30,14,28.473000572112767
30,15,28.364195412036253
30,16,28.28912704940484
30,17,28.23761968251381
30,18,28.20255298829363
30,19,28.17894534181272
30,20,28.16331207677581
30,21,28.15321627437453
30,22,28.146954321662157
30,23,28.14333580828344
30,24,28.14152945976236
30,25,28.14095529609941
30,26,28.141209147822057
31,0,14.2461
31,1,11.396880000000001
31,2,9.408541750000001
31,3,8.017928125000001
31,4,7.044972558125002
31,5,6.364250730125001
31,6,5.888059685404691
31,7,5.555022155162348
31,8,5.322176926690414
31,9,5.159452205076214
31,10,5.045798483509639
31,11,4.966481781622647
31,12,4.9111889481870605
31,13,4.87270137972957
31,14,4.8459666260094
31,15,4.827448515395332
31,16,4.814672244106063
31,17,4.805905940037107
31,18,4.799937758730683
31,19,4.795919851780958
31,20,4.79325914588267
31,21,4.791540889272071
31,22,4.7904751352869415
31,23,4.789859281857524
31,24,4.789551850099101
31,25,4.789454130228264
31,26,4.789497334560733
32,0,0.099
32,1,0.0792
32,2,0.06538250000000001
32,3,0.05571875000000001
32,4,0.04895792500000001
32,5,0.04422730375
32,6,0.0409180310625
32,7,0.038603594259374985
32,8,0.036985439871406234
32,9,0.03585458560533589
32,10,0.035064748734319084
32,11,0.03451353598407808
32,12,0.03412927646540673
32,13,0.03386180473850914
32,14,0.03367600896904463
32,15,0.03354731464781496
32,16,0.03345852320448012
32,17,0.03339759904659517
32,18,0.03335612049590281
32,19,0.033328195452253795
32,20,0.0333097023664434
32,21,0.03329775892888276
32,22,0.033290350158971777
32,23,0.03328606807459639
32,24,0.0332839294673678
32,25,0.03328324835155028
32,26,0.033283546684258376
33,0,0.099
33,1,0.0792
33,2,0.06538250000000001
33,3,0.05571875000000001
33,4,0.04895792500000001
33,5,0.04422730375
33,6,0.0409180310625
33,7,0.038603594259374985
33,8,0.036985439871406234
33,9,0.03585458560533589
33,10,0.035064748734319084
33,11,0.03451353598407808
33,12,0.03412927646540673
33,13,0.03386180473850914
33,14,0.03367600896904463
33,15,0.03354731464781496
33,16,0.03345852320448012
33,17,0.03339759904659517
33,18,0.03335612049590281
33,19,0.033328195452253795
33,20,0.0333097023664434
33,21,0.03329775892888276
33,22,0.033290350158971777
33,23,0.03328606807459639
33,24,0.0332839294673678
33,25,0.03328324835155028
33,26,0.033283546684258376
34,0,210.9195
34,1,168.7356
34,2,139.29741624999997
34,3,118.70879687500002
34,4,104.30378064687501
34,5,94.22540778687505
34,6,87.17519916438289
34,7,82.24443850989144
34,8,78.79706700704594
34,9,76.3878590890539
34,10,74.70516795772937
34,11,73.53085083910412
34,12,72.71221719336859
34,13,72.14239256088831
34,14,71.7465732918754
34,15,71.47240487860392
34,16,71.28324681059934
34,17,71.1534579932171
34,18,71.06509655975978
34,19,71.00560975811413
34,20,70.96621688864818
34,21,70.94077737712348
34,22,70.92499844130279
34,23,70.91588047236235
34,24,70.91132881593167
34,25,70.90988203216627
34,26,70.91052169047978
35,0,415.1961
35,1,332.15688
35,2,274.20766675
35,3,233.67886562500007
35,4,205.32251849562505
35,5,185.48319066762497
35,6,171.60481942056094
35,7,161.89859219274013
35,8,155.11242399476635
35,9,150.3698860519048
35,10,147.05750006943038
35,11,144.74585089608922
35,12,143.13436643382738
35,13,142.01266376958938
35,14,141.23349154132688
35,15,140.6937896364127
35,16,140.32143102509872
35,17,140.0659410831979
35,18,139.89200115558634
35,19,139.77490108639063
35,20,139.69735602407965
35,21,139.64727821728138
35,22,139.6162173025017
35,23,139.59826853463505
35,24,139.58930857598494
35,25,139.58646057484262
35,26,139.5877197454603
36,0,181.3977
36,1,145.11816
36,2,119.80035475
36,3,102.09346562500004
36,4,89.70467837562502
36,5,81.03694657962501
36,6,74.97353552166095
36,7,70.7329193530503
36,8,67.7680665932927
36,9,65.69606862655394
36,10,64.2488989668845
36,11,63.23894766292733
36,12,62.534895829901075
36,13,62.04482792349006
36,14,61.70441034687451
36,15,61.46861650322171
36,16,61.30593434964453
36,17,61.19431170227085
36,18,61.11831796623344
36,19,61.067157362274884
36,20,61.033278200208485
36,21,61.011399384431
36,22,60.99782898117271
36,23,60.989987228288214
36,24,60.98607265419577
36,25,60.98482837261136
36,26,60.98537849976855
37,0,0.099
37,1,0.0792
37,2,0.06538250000000001
37,3,0.05571875000000001
37,4,0.04895792500000001
37,5,0.04422730375
37,6,0.0409180310625
37,7,0.038603594259374985
37,8,0.036985439871406234
37,9,0.03585458560533589
37,10,0.035064748734319084
37,11,0.03451353598407808
37,12,0.03412927646540673
37,13,0.03386180473850914
37,14,0.03367600896904463
37,15,0.03354731464781496
