region,timePeriod,hospitalized
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
7,24,0.0
7,25,0.0
7,26,0.0
8,0,12.241209600000001
8,1,1.8361814400000003
8,2,0.2754272160000001
8,3,0.04131408240000003
8,4,0.006197112359999692
8,5,0.0009295668539999539
8,6,0.00013943502809999313
8,7,2.091525421499897e-05
8,8,3.1372881322498465e-06
8,9,4.70593219837477e-07
8,10,7.058898297562156e-08
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,0.0
8,21,0.0
8,22,0.0
8,23,0.0
8,24,0.0
8,25,0.0
8,26,0.0
9,0,3.628857600000001
9,1,0.5443286400000003
9,2,0.08164929600000004
9,3,0.012247394400000009
9,4,0.0018371091599999004
9,5,0.0002755663739999851
9,6,4.133495609999777e-05
9,7,6.200243414999666e-06
9,8,9.300365122499502e-07
9,9,1.3950547683749253e-07
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
9,21,0.0
9,22,0.0
9,23,0.0
9,24,0.0
9,25,0.0
9,26,0.0
10,0,16.679722500000004
10,1,2.5019583750000005
10,2,0.3752937562500001
10,3,0.05629406343750003
10,4,0.008444109515624666
10,5,0.0012666164273437
10,6,0.00018999246410155503
10,7,2.8498869615233265e-05
10,8,4.27483044228499e-06
10,9,6.412245663427487e-07
10,10,9.61836849514123e-08
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
10,21,0.0
10,22,0.0
10,23,0.0
10,24,0.0
10,25,0.0
10,26,0.0
11,0,39.15253690000001
11,1,5.872880535
11,2,0.8809320802499999
11,3,0.13213981203749997
11,4,0.019820971805624994
11,5,0.0029731457708434017
11,6,0.00044597186562651017
11,7,6.689577984397651e-05
11,8,1.0034366976596474e-05
11,9,1.5051550464894711e-06
11,10,2.2577325697342058e-07
11,11,3.386598854601308e-08
11,12,0.0
11,13,0.0
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,0.0
11,21,0.0
11,22,0.0
11,23,0.0
11,24,0.0
11,25,0.0
11,26,0.0
12,0,0.57121
12,1,0.08568150000000004
12,2,0.01285222500000001
12,3,0.0019278337499999795
12,4,0.000289175062499982
12,5,4.337625937499731e-05
12,6,6.5064389062496e-06
12,7,9.759658359374403e-07
12,8,1.4639487539061608e-07
12,9,0.0
12,10,0.0
12,11,0.0
12,12,0.0
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.0
12,18,0.0
12,19,0.0
12,20,0.0
12,21,0.0
12,22,0.0
12,23,0.0
12,24,0.0
12,25,0.0
12,26,0.0
13,0,0.1495729
13,1,0.06730780500000719
13,2,0.010096170750001078
13,3,0.001514425612500162
13,4,0.00022716384187502432
13,5,3.407457628125366e-05
13,6,5.111186442188049e-06
13,7,7.666779663282075e-07
13,8,1.1500169494923114e-07
13,9,0.0
13,10,0.0
13,11,0.0
13,12,0.0
13,13,0.0
13,14,0.0
13,15,0.0
13,16,0.0
13,17,0.0
13,18,0.0
13,19,0.0
13,20,0.0
13,21,0.0
13,22,0.0
13,23,0.0
13,24,0.0
13,25,0.0
13,26,0.0
14,0,1.0000000000000003e-05
14,1,1.5000000000000002e-06
14,2,2.25e-07
14,3,3.375e-08
14,4,5.0625e-09
14,5,0.0
14,6,0.0
