region,timePeriod,u
47,28,0.0
47,35,0.0
47,42,0.0
47,49,0.0
47,56,0.0
47,63,0.0
48,0,0.0
48,7,0.0
48,14,0.0
48,21,0.0
48,28,0.0
48,35,0.0
48,42,0.0
48,49,0.0
48,56,0.0
48,63,0.0
49,0,0.0
49,7,0.0
49,14,0.0
49,21,0.0
49,28,0.0
49,35,0.0
49,42,0.0
49,49,0.0
49,56,0.0
49,63,0.0
50,0,0.0
50,7,0.0
50,14,0.0
50,21,0.0
50,28,0.0
50,35,0.0
50,42,0.0
50,49,0.0
50,56,0.0
50,63,0.0
51,0,0.0
51,7,0.0
51,14,0.0
51,21,0.0
51,28,0.0
51,35,0.0
51,42,0.0
51,49,0.0
51,56,0.0
51,63,0.0
52,0,0.0
52,7,0.0
52,14,0.0
52,21,0.0
52,28,0.0
52,35,0.0
52,42,0.0
52,49,0.0
52,56,0.0
52,63,0.0
53,0,0.0
53,7,0.0
53,14,0.0
53,21,0.0
53,28,0.0
53,35,0.0
53,42,0.0
53,49,0.0
53,56,0.0
53,63,0.0
54,0,0.0
54,7,0.0
54,14,0.0
54,21,0.0
54,28,0.0
54,35,0.0
54,42,0.0
54,49,0.0
54,56,0.0
54,63,0.0
55,0,0.0
55,7,0.0
55,14,0.0
55,21,0.0
55,28,0.0
55,35,0.0
55,42,0.0
55,49,0.0
55,56,0.0
55,63,0.0
56,0,0.0
56,7,0.0
56,14,0.0
56,21,0.0
56,28,0.0
56,35,0.0
56,42,0.0
56,49,0.0
56,56,0.0
56,63,0.0
57,0,0.0
57,7,2.220446049250313e-16
57,14,0.0
57,21,0.0
57,28,0.0
57,35,0.0
57,42,0.0
57,49,0.0
57,56,0.0
57,63,0.0
58,0,0.0
58,7,0.0
58,14,0.0
58,21,0.0
58,28,0.0
58,35,0.0
58,42,0.0
58,49,0.0
58,56,0.0
58,63,0.0
59,0,0.0
59,7,0.0
59,14,0.0
59,21,0.0
59,28,0.0
59,35,0.0
59,42,0.0
59,49,0.0
59,56,0.0
59,63,0.0
60,0,0.0
60,7,0.004248487534956529
60,14,0.004218837191901609
60,21,0.004189393779627595
60,28,0.004160155853957331
60,35,0.004131121980792622
60,42,0.004102290736043902
60,49,0.004073660705560368
60,56,0.004045230485060628
60,63,0.0
61,0,0.0
61,7,0.0
61,14,0.0
61,21,0.0
61,28,0.0
61,35,0.0
61,42,0.0
61,49,0.0
61,56,0.0
61,63,0.0
62,0,0.0
62,7,0.4394918404832356
62,14,0.43590118393928473
62,21,0.4323355867129017
62,28,0.4287948739142327
62,35,0.42527887187398655
62,42,0.4217874081349165
62,49,0.4183203114433605
62,56,0.41487741174084214
62,63,0.0
63,0,0.0
63,7,0.0
63,14,0.0
63,21,0.0
63,28,0.0
63,35,0.0
63,42,0.0
63,49,0.0
63,56,0.0
63,63,0.0
64,0,0.0
64,7,0.0012026576935834097
