fromRegion,toFacility,decisionPeriod,quantity
4,12,40,5000000.0
4,12,60,5000000.0
4,12,70,5000000.0
4,12,90,5000000.0
4,12,100,5000000.0
4,12,120,5000000.0
4,12,140,4999986.349597539
4,12,150,5000000.0
4,15,10,5000000.0
4,15,30,4999943.272182723
4,15,40,5000000.0
4,15,50,5000000.0
4,15,80,5000000.0
4,15,90,5000000.0
4,15,100,5000000.0
4,15,120,5000000.0
4,15,150,5000000.0
4,17,30,4999965.7536956
4,17,40,5000000.0
4,17,60,5000000.0
4,17,100,4999999.997568146
4,17,110,4999980.121880578
4,17,120,5000000.0
4,17,130,5000000.0
4,20,20,4999999.444631379
4,20,30,5000000.0
4,20,40,5000000.0
4,20,60,5000000.0
4,20,70,5000000.0
4,20,80,5000000.0
4,20,100,5000000.0
4,20,140,5000000.0
4,20,150,5000000.0
4,23,10,5000000.0
4,23,20,5000000.0
4,23,30,5000000.0
4,23,50,5000000.0
4,23,100,5000000.0
4,23,110,4999875.805634244
4,23,120,5000000.0
4,23,130,34.59282940719277
4,23,140,5000000.0
4,33,20,365.2271998921442
4,33,70,5000000.0
4,33,80,5000000.0
4,33,90,5000000.0
4,33,100,5000000.0
4,33,110,5000000.0
4,33,130,5000000.0
4,37,10,5000000.0
4,37,30,5000000.0
4,37,80,4999725.38514421
4,37,90,5000000.0
4,37,110,5000000.0
4,37,130,4999999.98336142
4,37,150,4999999.999238955
4,41,50,5000000.0
4,41,60,4999999.995739494
4,41,70,5000000.0
4,41,90,5000000.0
4,41,110,5000000.0
4,41,140,5000000.0
4,45,10,5000000.0
4,45,20,5000000.0
4,45,60,5000000.0
4,45,80,5000000.0
4,45,110,5000000.0
4,45,120,5000000.0
4,45,130,5000000.0
4,45,150,5000000.0
4,54,10,5000000.0
4,54,20,5000000.0
4,54,30,5000000.0
4,54,40,5000000.0
4,54,120,8.001763790980803
4,54,130,5000000.0
4,54,140,5000000.0
4,58,10,5000000.0
4,58,30,5000000.0
4,58,40,13.015859278404605
4,58,50,5000000.0
4,58,60,5000000.0
4,58,80,5000000.0
4,58,90,5000000.0
4,58,110,5000000.0
4,58,120,5000000.0
4,58,130,5000000.0
4,58,150,5000000.0
4,61,10,5000000.0
4,61,20,5000000.0
4,61,30,5000000.0
4,61,50,5000000.0
4,61,60,5000000.0
4,61,70,458.018820311455
4,61,80,5000000.0
4,61,90,5000000.0
4,61,100,5000000.0
4,61,120,5000000.0
4,61,140,5000000.0
4,63,10,5000000.0
4,63,40,5000000.0
4,63,50,4999999.998667034
4,63,60,5000000.0
4,63,70,5000000.0
4,63,80,238.97394618875055
4,63,130,4999988.190778795
4,63,140,5000000.0
4,63,150,5000000.0
5,5,10,5000000.0
5,5,20,5000000.0
5,5,30,5000000.0
5,5,40,5000000.0
5,5,50,5000000.0
5,5,60,5000000.0
5,5,70,5000000.0
5,5,80,5000000.0
5,5,90,5000000.0
5,5,100,5000000.0
5,5,110,5000000.0
5,5,120,5000000.0
5,5,130,5000000.0
5,5,140,5000000.0
5,5,150,5000000.0
5,30,20,5000000.0
5,30,30,5000000.0
5,30,40,4999894.20921981
5,30,50,4999757.526600072
5,30,60,5000000.0
5,30,70,5000000.0
5,30,80,5000000.0
5,30,90,4999861.32047679
5,30,100,4999923.256803902
5,30,120,4999965.482153959
5,30,130,5000000.0
5,30,150,5000000.0
5,48,20,5000000.0
5,48,30,717.2282218516357
5,48,40,5000000.0
5,48,50,5000000.0
5,48,70,5000000.0
5,48,80,5000000.0
5,48,90,5000000.0
5,48,100,5000000.0
5,48,110,5000000.0
5,48,120,5000000.0
5,48,140,5000000.0
5,49,30,5000000.0
5,49,40,389.34608110437426
5,49,80,162.09383457195068
5,49,90,5000000.0
5,49,150,584.5291559407488
5,57,10,1452.3632366624918
5,57,50,5000000.0
5,57,110,5000000.0
5,57,120,115.96300486080676
5,57,130,4999919.630064318
5,57,140,5000000.0
5,57,150,5000000.0
5,64,10,5000000.0
5,64,20,4999964.639387872
5,64,60,5000000.0
