region,timePeriod,V
1,128,79.29603098033647
1,129,77.72588899764169
1,130,76.17727045967851
1,131,74.65208668514474
1,132,73.15163813716852
1,133,71.6774995122827
1,134,70.22798429772337
1,135,68.84612460494581
1,136,67.48029653752658
1,137,66.13387355904412
1,138,64.80820813120567
1,139,63.50432764383196
1,140,62.22359129253949
1,141,60.99989912293516
1,142,59.796408449886414
1,143,58.60822967004365
1,144,57.437450771552804
1,145,56.28552610610907
1,146,55.15259049540737
1,147,54.03940166072812
1,148,52.94555059665525
1,149,51.905143031070295
1,150,50.88060209043794
1,151,49.87327927723751
1,152,48.883684344369534
1,153,47.91209909913357
1,154,46.9586330476253
1,155,46.02327006573617
2,1,0.0
2,2,3758.5560481031
2,3,2825.725523057471
2,4,2173.2482600970475
2,5,1681.0216824295019
2,6,1310.3860840729046
2,7,1030.0550162670802
2,8,818.6797545255214
2,9,658.8515783667906
2,10,537.8048427082394
2,11,445.9363710498842
2,12,371.17867573118275
2,13,313.91679408354025
2,14,269.78967313296704
2,15,235.57147942317658
2,16,198.84458906173904
2,17,170.0540766251831
2,18,147.1015695586904
2,19,128.53757323868837
2,20,113.26605029135193
2,21,120.92744037931811
2,22,125.7698275416554
2,23,129.109427198934
2,24,131.24910823972837
2,25,122.18484809638869
2,26,125.21828885287329
2,27,126.88433151677326
2,28,127.62207285070124
2,29,123.27350220478047
2,30,111.89730294595616
2,31,102.0956555170863
2,32,95.48608660507965
2,33,88.34290118877772
2,34,81.97028618471015
2,35,76.27764550486856
2,36,70.73640691231722
2,37,59.96086474454309
2,38,54.908308738382146
2,39,69.61526848441366
2,40,80.26662023412807
2,41,88.0173134836282
2,42,93.64762852680748
2,43,90.43728045814457
2,44,84.89019225045385
2,45,79.91487290045262
2,46,75.456083114654
2,47,71.1560454828313
2,48,67.06833781275776
2,49,75.41918428742758
2,50,72.07667320705826
2,51,78.51282882258316
2,52,82.95871346050819
2,53,79.43593135950577
2,54,76.25974358828425
2,55,73.09088810980057
2,56,77.62719380830806
2,57,80.51727814879419
2,58,82.50440119852813
2,59,83.51875740681967
2,60,83.96970540262053
2,61,83.93187713422637
2,62,83.5227374915609
2,63,82.84949180603427
2,64,81.93332458722658
2,65,80.8788242478819
2,66,79.71859349218089
2,67,78.46412005492986
2,68,77.16221099203264
2,69,75.82484662852782
2,70,74.46695231417209
2,71,73.09983968092865
2,72,71.73210197133857
2,73,70.36964308087761
2,74,69.01765156777066
2,75,67.68081935116516
2,76,66.36007234242886
2,77,65.05761498974144
2,78,63.77639492410711
2,79,62.516512003059574
2,80,61.27826331534893
2,81,60.061457602343275
2,82,58.86727570718689
2,83,57.69553425680753
2,84,56.52458445359316
2,85,55.37240185686207
2,86,54.2794497506747
2,87,53.20413892257876
2,88,52.148019073885834
2,89,51.111249272535716
2,90,50.093938306380124
2,91,49.07704185389899
2,92,48.07742480341715
2,93,47.12835125389793
2,94,46.194633570507726
2,95,45.27759833901067
2,96,44.36478051452445
2,97,43.48111418878313
2,98,42.59802915996855
2,99,41.72893184052175
2,100,40.908662895318145
2,101,40.09588613146842
2,102,39.302860826388155
2,103,38.51134592272813
2,104,37.731793223854154
2,105,36.96465254236031
2,106,36.210282329969544
2,107,35.50370247783459
2,108,34.806086076532694
2,109,34.11977534136891
2,110,33.435052319483546
2,111,32.760107136423585
2,112,32.095492823808506
2,113,31.441632026179562
2,114,30.82788481838196
2,115,30.218433265710527
2,116,29.615611106935944
2,117,29.02047273437122
2,118,28.43381692243025
2,119,27.856674290062948
2,120,27.287916760556485
2,121,26.758333958326627
2,122,26.231603396434338
2,123,25.710023233323184
2,124,25.194657473493148
2,125,24.686312355520737
2,126,24.185542037446492
2,127,23.69271222661134
2,128,23.233307420481403
2,129,22.779143436702125
2,130,22.331567428309544
2,131,21.88465226803228
2,132,21.44380791520262
2,133,21.009478421935135
2,134,20.58200168575699
2,135,18.94469787545364
2,136,17.594392343109128
2,137,16.44407453858251
2,138,15.44433426026746
2,139,14.557570127077055
2,140,13.755300707455088
2,141,14.658672956547672
2,142,13.099961019620977
2,143,11.823661578921431
2,144,10.674018572064744
2,145,9.669219154723505
2,146,8.755363188727165
2,147,7.907651119462124
2,148,9.902893699563904
2,149,8.339413644996913
2,150,7.628084223302858
2,151,7.3037559314999205
2,152,7.1168949844140155
2,153,7.013077214808518
2,154,6.950441246938211
2,155,9.037754633850662
3,1,0.0
3,2,29527.52978539325
3,3,22063.167666875852
3,4,16841.953706946213
3,5,12904.659698224003
3,6,9937.265806740697
3,7,7699.162105493942
3,8,6009.823672728713
3,9,4733.584678817794
3,10,3768.4116826924073
3,11,3037.652905387972
3,12,2476.8573646938003
3,13,2048.600907154956
3,14,1720.2982689596313
